Item_Fat_Content,Item_ID,Item_Type,Item_Category,Item_Visibility,Visibility_Band,Item_Weight,Sales_Per_Weight,High_Rated_Item,Rating
Regular,FDC40,Dairy,Perishables,0.065431917,Medium,16,4.7624125,1,5
Low Fat,FDB53,Frozen Foods,Perishables,0.140241213,High,13.35,11.25387266,1,5
Low Fat,FDA16,Frozen Foods,Perishables,0.033935576,Low,6.695,33.15094847,1,5
Regular,FDO19,Fruits and Vegetables,Perishables,0.016516275,Low,,0,1,5
Low Fat,FDO04,Frozen Foods,Perishables,0.026537206,Low,16.6,3.449481928,1,5
Regular,FDL25,Breakfast,Packaged Foods,0.131128467,High,6.92,13.46537572,1,5
Low Fat,NCJ30,Household,Household,0.080640478,High,5.82,28.82800687,1,5
Low Fat,NCQ41,Health and Hygiene,Household,0.01946418,Low,14.8,13.26887838,1,5
Low Fat,DRJ35,Hard Drinks,Drinks,0.046545786,Medium,10.1,5.939386139,1,5
Low Fat,NCE31,Household,Household,0.184689756,High,7.67,4.618200782,1,5
Low Fat,FDY09,Snack Foods,Packaged Foods,0.025342692,Low,15.6,11.17342308,1,5
low fat,FDZ04,Frozen Foods,Perishables,0.037923509,Medium,9.31,6.622019334,1,5
Low Fat,FDY07,Fruits and Vegetables,Perishables,0.121848436,High,11.8,3.969508475,1,5
Regular,FDO45,Snack Foods,Packaged Foods,0.038029746,Medium,13.15,6.744152091,1,5
Low Fat,FDB09,Fruits and Vegetables,Perishables,0.057485328,Medium,16.25,7.766436923,1,5
Regular,FDP51,Meat,Perishables,0.085274988,High,13.85,8.636274368,1,5
Regular,FDT50,Dairy,Perishables,0.108148913,High,6.75,14.1741037,1,5
Regular,FDQ08,Fruits and Vegetables,Perishables,0.018838681,Low,,0,1,5
Low Fat,DRL11,Hard Drinks,Drinks,0.048115543,Medium,10.5,15.15186667,1,5
Low Fat,FDT34,Snack Foods,Packaged Foods,0.174621343,High,9.3,11.21466667,1,5
Regular,FDP01,Breakfast,Packaged Foods,0.105994654,High,20.75,7.256298795,1,5
Low Fat,NCJ31,Others,Packaged Foods,0.182501773,High,19.2,12.45935417,1,5
Low Fat,NCL30,Household,Household,0.048931174,Medium,18.1,7.035005525,1,5
Low Fat,FDF04,Frozen Foods,Perishables,0.013658248,Low,17.5,14.64745143,1,5
Low Fat,NCZ42,Household,Household,0.011305479,Low,10.5,22.43093333,1,5
Low Fat,FDG24,Baking Goods,Packaged Foods,0.014653896,Low,7.975,10.3354232,1,5
Low Fat,FDV49,Canned,Packaged Foods,0.025867353,Low,10,26.46226,1,5
Low Fat,FDX01,Canned,Packaged Foods,0.024201905,Low,10.1,11.37772277,1,5
Low Fat,DRF27,Dairy,Perishables,0.028461453,Low,8.93,17.0474804,1,5
Low Fat,FDF16,Frozen Foods,Perishables,0.086266286,High,7.3,20.16542466,1,5
Low Fat,FDU04,Frozen Foods,Perishables,0.005557062,Low,7.93,15.40244641,1,5
Low Fat,FDP04,Frozen Foods,Perishables,0.013834247,Low,15.35,4.085785016,1,5
Low Fat,FDD05,Frozen Foods,Perishables,0.016637301,Low,19.35,6.248568475,1,5
Low Fat,FDV07,Fruits and Vegetables,Perishables,0.031331581,Low,9.5,11.69713684,1,5
Low Fat,FDT20,Fruits and Vegetables,Perishables,0.041459804,Medium,10.5,3.734895238,1,5
Low Fat,FDC44,Fruits and Vegetables,Perishables,0,Low,15.6,7.176397436,1,5
Low Fat,DRM59,Hard Drinks,Drinks,0.003597678,Low,5.88,26.17343537,1,5
Low Fat,DRG23,Hard Drinks,Drinks,0.086916126,High,8.88,17.27119369,1,5
Low Fat,NCJ29,Health and Hygiene,Household,0.035247642,Medium,10.6,7.992679245,1,5
Low Fat,NCM42,Household,Household,0.028365524,Low,6.13,17.95941272,1,5
Low Fat,NCY42,Household,Household,0.015186146,Low,6.38,22.71896552,1,5
Low Fat,NCX54,Household,Household,0.048134591,Medium,9.195,11.71965198,1,5
Low Fat,NCI06,Household,Household,0.047791878,Medium,11.3,15.99699115,1,5
Low Fat,NCQ02,Household,Household,0.007468056,Low,12.6,14.83774603,1,5
Low Fat,NCR38,Household,Household,0.113694957,High,17.25,14.69405217,1,5
Low Fat,NCM30,Household,Household,0.067400032,Medium,19.1,2.197884817,1,5
Low Fat,FDK43,Meat,Perishables,0.026882496,Low,9.8,12.88795918,1,5
Low Fat,FDK21,Snack Foods,Packaged Foods,0.010027885,Low,7.905,31.58011385,1,5
Low Fat,FDR45,Snack Foods,Packaged Foods,0.028988288,Low,10.8,22.1502037,1,5
Low Fat,FDV09,Snack Foods,Packaged Foods,0.020600553,Low,12.1,12.19614876,1,5
Regular,FDU12,Baking Goods,Packaged Foods,0.075868843,Medium,15.5,16.88753548,1,5
Regular,FDZ47,Baking Goods,Packaged Foods,0.079419755,High,20.7,4.821458937,1,5
Regular,FDO11,Breads,Perishables,0.030311951,Low,8,30.92615,1,5
Regular,FDU49,Canned,Packaged Foods,0.030742083,Low,19.5,4.387384615,1,5
Regular,FDA02,Dairy,Perishables,0.02976887,Low,14,10.39132857,1,5
Regular,FDV26,Dairy,Perishables,0,Low,20.25,9.594044444,1,5
Regular,FDA04,Frozen Foods,Perishables,0.066833743,Medium,11.3,22.76957522,1,5
Regular,FDO52,Frozen Foods,Perishables,0.077284566,High,11.6,14.86298276,1,5
Regular,FDA40,Frozen Foods,Perishables,0.09942555,High,16,5.44285,1,5
Regular,FDS27,Meat,Perishables,0.012477512,Low,10.195,19.33408534,1,5
Regular,FDU15,Meat,Perishables,0.026643448,Low,13.65,2.780454212,1,5
Regular,FDV33,Snack Foods,Packaged Foods,0.027386122,Low,9.6,27.00316667,1,5
Regular,FDV34,Snack Foods,Packaged Foods,0.011443222,Low,10.695,6.872725573,1,5
Regular,FDX46,Snack Foods,Packaged Foods,0.058207114,Medium,12.3,4.809447154,1,5
low fat,NCA53,Health and Hygiene,Household,0.009893817,Low,11.395,4.414515138,1,5
Regular,FDT24,Baking Goods,Packaged Foods,0.18614827,High,12.35,6.334639676,1,5
Regular,FDX27,Dairy,Perishables,0.114294512,High,20.7,4.586647343,1,5
Low Fat,NCQ38,Others,Packaged Foods,0.023402893,Low,,0,1,5
Low Fat,FDK02,Canned,Packaged Foods,0.196490902,High,,0,1,5
Low Fat,FDI15,Dairy,Perishables,0.24749009,High,,0,1,5
Low Fat,FDE09,Fruits and Vegetables,Perishables,0.037824735,Medium,,0,1,5
Low Fat,FDS55,Fruits and Vegetables,Perishables,0.142107998,High,,0,1,5
Low Fat,FDZ56,Fruits and Vegetables,Perishables,0.04506213,Medium,,0,1,5
Low Fat,NCA05,Health and Hygiene,Household,0.044000492,Medium,,0,1,5
Low Fat,NCK29,Health and Hygiene,Household,0,Low,,0,1,5
Low Fat,NCU29,Health and Hygiene,Household,0.044607722,Medium,,0,1,5
Low Fat,NCX41,Health and Hygiene,Household,0.031024168,Low,,0,1,5
Low Fat,NCG07,Household,Household,0.091924311,High,,0,1,5
Low Fat,NCI30,Household,Household,0.103188491,High,,0,1,5
Low Fat,NCR54,Household,Household,0.158562708,High,,0,1,5
Low Fat,NCT06,Household,Household,0.067824456,Medium,,0,1,5
Low Fat,FDN15,Meat,Perishables,0.029299175,Low,,0,1,5
Low Fat,FDJ45,Seafood,Packaged Foods,0.128532558,High,,0,1,5
Regular,FDL13,Breakfast,Packaged Foods,0.098606543,High,,0,1,5
Regular,FDL02,Canned,Packaged Foods,0.182236555,High,,0,1,5
Regular,FDF56,Fruits and Vegetables,Perishables,0.209162936,High,,0,1,5
Regular,FDQ27,Meat,Perishables,0.077480627,High,,0,1,5
Regular,FDG35,Starchy Foods,Packaged Foods,0.012327847,Low,,0,1,5
Regular,FDD38,Canned,Packaged Foods,0.014342659,Low,,0,1,5
Regular,FDE41,Frozen Foods,Perishables,0,Low,,0,1,5
Low Fat,FDP24,Baking Goods,Packaged Foods,0.083004078,High,20.6,5.799786408,1,5
Low Fat,FDH38,Canned,Packaged Foods,0.01043823,Low,6.425,18.03592218,1,5
Low Fat,FDT49,Canned,Packaged Foods,0.151405587,High,7,15.38971429,1,5
Low Fat,FDN02,Canned,Packaged Foods,0.073827748,Medium,16.5,12.65841212,1,5
Low Fat,DRF27,Dairy,Perishables,0.028417272,Low,8.93,17.30503919,1,5
Low Fat,FDT02,Dairy,Perishables,0.024194731,Low,12.6,2.872015873,1,5
Low Fat,FDF05,Frozen Foods,Perishables,0.02687089,Low,17.5,15.11377143,1,5
Low Fat,FDI45,Fruits and Vegetables,Perishables,0.037581243,Medium,13.1,13.39735878,1,5
Low Fat,FDZ20,Fruits and Vegetables,Perishables,0.034306962,Low,16.1,15.67301863,1,5
Low Fat,NCC42,Health and Hygiene,Household,0.044908404,Medium,15,9.352253333,1,5
Low Fat,NCQ53,Health and Hygiene,Household,0.018905326,Low,17.6,13.33289773,1,5
Low Fat,NCR54,Household,Household,0.090562192,High,16.35,12.12299694,1,5
Low Fat,NCX06,Household,Household,0.015687045,Low,17.6,10.38054545,1,5
Low Fat,NCO06,Household,Household,0.108030434,High,19.25,1.686015584,1,5
Low Fat,NCN54,Household,Household,0.021326471,Low,20.35,3.741169533,1,5
Low Fat,FDL27,Meat,Perishables,0.010630949,Low,6.17,10.69410049,1,5
Low Fat,FDV51,Meat,Perishables,0.032538896,Low,16.35,10.13970642,1,5
Low Fat,FDC46,Snack Foods,Packaged Foods,0.116542484,High,17.7,10.31788701,1,5
Low Fat,FDZ58,Snack Foods,Packaged Foods,0.052176861,Medium,17.85,6.879955182,1,5
Low Fat,FDN21,Snack Foods,Packaged Foods,0.076855628,Medium,18.6,8.657182796,1,5
Low Fat,FDO58,Snack Foods,Packaged Foods,0.039577173,Medium,19.6,8.477173469,1,5
Low Fat,DRD24,Soft Drinks,Drinks,0.030795085,Low,13.85,10.34768231,1,5
Low Fat,DRI37,Soft Drinks,Drinks,0.107597879,High,15.85,3.709173502,1,5
Regular,FDI12,Baking Goods,Packaged Foods,0.10039894,High,9.395,9.546098989,1,5
Regular,FDP12,Baking Goods,Packaged Foods,0.045266806,Medium,9.8,3.77422449,1,5
Regular,FDO01,Breakfast,Packaged Foods,0.020718655,Low,21.1,6.184805687,1,5
Regular,FDZ37,Canned,Packaged Foods,0.019768503,Low,8.1,10.94071605,1,5
Regular,FDJ15,Dairy,Perishables,0.023322478,Low,11.35,16.08465198,1,5
Regular,FDM04,Frozen Foods,Perishables,0.04712061,Medium,9.195,5.782120718,1,5
Regular,FDI40,Frozen Foods,Perishables,0.125602951,High,11.5,8.768330435,1,5
Regular,FDX04,Frozen Foods,Perishables,0.041571557,Medium,19.6,2.547836735,1,5
Regular,FDS15,Meat,Perishables,0.078060601,High,9.195,11.56711256,1,5
Regular,FDJ57,Seafood,Packaged Foods,0.021573645,Low,7.42,24.88654987,1,5
Regular,FDG21,Seafood,Packaged Foods,0.146299902,High,17.35,8.668876081,1,5
Regular,FDW21,Snack Foods,Packaged Foods,0.005963881,Low,5.34,18.63966292,1,5
Regular,FDX10,Snack Foods,Packaged Foods,0.123710526,High,6.385,5.824181676,1,5
Low Fat,DRI51,Dairy,Perishables,0,Low,17.25,9.946457971,1,5
Low Fat,NCZ17,Health and Hygiene,Household,0,Low,12.15,3.222271605,1,5
Low Fat,DRE25,Soft Drinks,Drinks,0.073697713,Medium,15.35,5.987752443,1,5
Low Fat,FDT60,Baking Goods,Packaged Foods,0.075701524,Medium,12,10.38656667,1,5
Low Fat,FDN24,Baking Goods,Packaged Foods,0.11349714,High,14.1,3.985503546,1,5
Low Fat,FDO37,Breakfast,Packaged Foods,0.021420031,Low,8.06,28.78816377,1,5
Low Fat,FDI14,Canned,Packaged Foods,0.089859642,High,14.1,9.946780142,1,5
Low Fat,FDW37,Canned,Packaged Foods,0.124301968,High,19.2,4.674416667,1,5
Low Fat,DRC27,Dairy,Perishables,0.058220302,Medium,13.8,17.93334783,1,5
Low Fat,FDK16,Frozen Foods,Perishables,0.115563679,High,9.065,10.59121897,1,5
Low Fat,FDK41,Frozen Foods,Perishables,0.12780038,High,14.3,5.84772028,1,5
Low Fat,FDY31,Fruits and Vegetables,Perishables,0.043651198,Medium,5.98,24.43842809,1,5
Low Fat,FDT20,Fruits and Vegetables,Perishables,0.041479396,Medium,10.5,3.50632381,1,5
Low Fat,FDI45,Fruits and Vegetables,Perishables,0.037657459,Medium,13.1,13.42025954,1,5
Low Fat,FDG57,Fruits and Vegetables,Perishables,0.072444983,Medium,14.7,3.306353741,1,5
Low Fat,FDN32,Fruits and Vegetables,Perishables,0.015591925,Low,17.5,10.56152,1,5
Low Fat,FDX19,Fruits and Vegetables,Perishables,0.096929994,High,19.1,12.2458534,1,5
Low Fat,FDP20,Fruits and Vegetables,Perishables,0.045761855,Medium,19.85,6.327556675,1,5
Low Fat,NCR17,Health and Hygiene,Household,0.024432767,Low,9.8,11.88257143,1,5
Low Fat,NCT17,Health and Hygiene,Household,0.041950753,Medium,10.8,17.59457407,1,5
Low Fat,NCU05,Health and Hygiene,Household,0.058855357,Medium,11.8,6.708627119,1,5
Low Fat,NCT42,Household,Household,0.024937792,Low,5.88,25.2447619,1,5
Low Fat,NCV18,Household,Household,0.105459307,High,6.775,12.49077491,1,5
Low Fat,NCH43,Household,Household,0.070712031,Medium,8.42,25.70299287,1,5
Low Fat,NCE18,Household,Household,0.021468792,Low,10,25.1675,1,5
Low Fat,NCC18,Household,Household,0.177629525,High,19.1,9.106921466,1,5
Low Fat,NCJ42,Household,Household,0.01433033,Low,19.75,5.27763038,1,5
Low Fat,FDQ10,Snack Foods,Packaged Foods,0.03324652,Low,12.85,13.41962646,1,5
Low Fat,FDL34,Snack Foods,Packaged Foods,0.041028937,Medium,16,8.9156,1,5
Low Fat,DRK37,Soft Drinks,Drinks,0,Low,5,37.9706,1,5
Low Fat,DRF48,Soft Drinks,Drinks,0.05190652,Medium,5.73,32.84289703,1,5
Low Fat,DRG49,Soft Drinks,Drinks,0.067592098,Medium,7.81,31.50430218,1,5
Low Fat,FDX60,Baking Goods,Packaged Foods,0.081050006,High,14.35,5.518885017,1,5
Low Fat,FDS13,Canned,Packaged Foods,0.125210375,High,6.465,41.28204176,1,5
Low Fat,FDC50,Canned,Packaged Foods,0.13727,High,15.85,5.956429022,1,5
Low Fat,FDK51,Dairy,Perishables,0.005264755,Low,19.85,13.32939043,1,5
Low Fat,FDD17,Frozen Foods,Perishables,0.032811503,Low,7.5,31.95874667,1,5
Low Fat,FDJ28,Frozen Foods,Perishables,0.021984639,Low,12.3,15.54603252,1,5
Low Fat,FDP16,Frozen Foods,Perishables,0.039517121,Medium,18.6,13.10108602,1,5
Low Fat,FDB20,Fruits and Vegetables,Perishables,0.052274691,Medium,7.72,10.25888601,1,5
Low Fat,FDP56,Fruits and Vegetables,Perishables,0.046747071,Medium,8.185,6.104972511,1,5
Low Fat,FDT43,Fruits and Vegetables,Perishables,0.020664178,Low,16.35,3.109015291,1,5
Low Fat,DRI59,Hard Drinks,Drinks,0.041065647,Medium,9.5,23.52724211,1,5
Low Fat,DRN47,Hard Drinks,Drinks,0.016921927,Low,12.1,14.74099174,1,5
Low Fat,DRM23,Hard Drinks,Drinks,0.136500981,High,16.6,10.4423012,1,5
Low Fat,NCN53,Health and Hygiene,Household,0.030527166,Low,5.175,6.490318841,1,5
Low Fat,NCT53,Health and Hygiene,Household,0.048388423,Medium,5.4,30.19492593,1,5
Low Fat,NCQ05,Health and Hygiene,Household,0,Low,11.395,13.0996753,1,5
Low Fat,NCM53,Health and Hygiene,Household,0.05233528,Medium,18.75,5.766826667,1,5
Low Fat,NCX42,Household,Household,0.006012413,Low,6.36,25.63720126,1,5
Low Fat,NCT18,Household,Household,0.059741172,Medium,14.6,12.30805479,1,5
Low Fat,NCI30,Household,Household,0.059268885,Medium,20.25,12.17017284,1,5
Low Fat,NCE54,Household,Household,0.027052018,Low,20.7,3.571758454,1,5
Low Fat,FDH19,Meat,Perishables,0.033275634,Low,19.35,8.985726098,1,5
Low Fat,FDT03,Meat,Perishables,0.01005532,Low,21.25,8.619331765,1,5
Low Fat,NCN19,Others,Packaged Foods,0.012167988,Low,13.1,14.52312977,1,5
Low Fat,NCQ43,Others,Packaged Foods,0.111931193,High,17.75,6.134715493,1,5
Low Fat,FDK09,Snack Foods,Packaged Foods,0.092282353,High,15.2,14.94968421,1,5
Low Fat,FDV46,Snack Foods,Packaged Foods,0.012679191,Low,18.2,7.682307692,1,5
Low Fat,FDY46,Snack Foods,Packaged Foods,0.048160824,Medium,18.6,10.16074194,1,5
Regular,FDK26,Canned,Packaged Foods,0.032242661,Low,5.46,34.36336996,1,5
Regular,FDI50,Canned,Packaged Foods,0.030905215,Low,8.42,27.03505938,1,5
Regular,FDB26,Canned,Packaged Foods,0.031330907,Low,14,3.740285714,1,5
Regular,FDY49,Canned,Packaged Foods,0.012036432,Low,17.2,9.634790698,1,5
Regular,FDB04,Dairy,Perishables,0.063354531,Medium,11.35,7.840140969,1,5
Regular,FDA02,Dairy,Perishables,0.029782937,Low,14,10.45561429,1,5
Regular,FDZ28,Frozen Foods,Perishables,0.051596927,Medium,20,6.40339,1,5
Regular,FDE17,Frozen Foods,Perishables,0.054565932,Medium,20.1,7.573960199,1,5
Regular,FDQ19,Fruits and Vegetables,Perishables,0.014394261,Low,7.35,32.83689796,1,5
Regular,FDM08,Fruits and Vegetables,Perishables,0.053692878,Medium,10.1,22.07017822,1,5
Regular,FDP03,Meat,Perishables,0.061301149,Medium,5.15,23.71627184,1,5
Regular,FDU58,Snack Foods,Packaged Foods,0,Low,6.61,28.2132829,1,5
Regular,FDU46,Snack Foods,Packaged Foods,0.011148865,Low,10.3,8.238252427,1,5
Regular,FDY34,Snack Foods,Packaged Foods,0.01100413,Low,10.5,15.92230476,1,5
Regular,FDO09,Snack Foods,Packaged Foods,0.125528734,High,13.5,19.42155556,1,5
Regular,FDP48,Baking Goods,Packaged Foods,0.044272226,Medium,7.52,24.12167553,1,5
Regular,FDI12,Baking Goods,Packaged Foods,0.100966837,High,9.395,9.248068121,1,5
Regular,FDY12,Baking Goods,Packaged Foods,0.141406394,High,9.8,5.102122449,1,5
Regular,FDX48,Baking Goods,Packaged Foods,0.038102203,Medium,17.75,8.679752113,1,5
Regular,FDV60,Baking Goods,Packaged Foods,0.118025091,High,20.2,9.693613861,1,5
Regular,FDQ47,Breads,Perishables,0.169137707,High,7.155,4.931851852,1,5
Regular,FDZ13,Canned,Packaged Foods,0.154363209,High,7.84,6.484056122,1,5
Regular,FDM04,Frozen Foods,Perishables,0.047387144,Medium,9.195,5.531984774,1,5
Regular,FDS04,Frozen Foods,Perishables,0.147492524,High,10.195,13.88757234,1,5
Regular,FDV28,Frozen Foods,Perishables,0,Low,16.1,2.183590062,1,5
Regular,FDU19,Fruits and Vegetables,Perishables,0.047036036,Medium,8.77,19.44608894,1,5
Regular,FDE56,Fruits and Vegetables,Perishables,0.160095901,High,17.25,3.566342029,1,5
Regular,FDI07,Meat,Perishables,0.033951827,Low,12.35,15.97106073,1,5
Regular,FDU15,Meat,Perishables,0,Low,13.65,2.685216117,1,5
Regular,FDU27,Meat,Perishables,0.172446822,High,18.6,2.53427957,1,5
Regular,FDN39,Meat,Perishables,0.065890998,Medium,19.35,8.63470801,1,5
Regular,FDV10,Snack Foods,Packaged Foods,0.067083367,Medium,7.645,5.756860693,1,5
Regular,FDO45,Snack Foods,Packaged Foods,0.038167453,Medium,13.15,6.804988593,1,5
Regular,FDB23,Starchy Foods,Packaged Foods,0.005620213,Low,19.2,11.80240625,1,5
low fat,NCY41,Health and Hygiene,Household,0.076164013,Medium,16.75,2.033026866,1,5
Regular,FDW31,Fruits and Vegetables,Perishables,0.043402224,Medium,11.35,17.36336564,1,5
Regular,FDR55,Fruits and Vegetables,Perishables,0.13283066,High,12.15,15.69441975,1,5
Regular,FDX10,Snack Foods,Packaged Foods,0.124410284,High,6.385,5.385653876,1,5
Low Fat,DRF49,Soft Drinks,Drinks,0.071064499,Medium,7.27,15.74302613,1,5
Low Fat,FDA23,Baking Goods,Packaged Foods,0.047178116,Medium,9.8,10.14302041,1,5
Low Fat,FDR60,Baking Goods,Packaged Foods,0.130390458,High,14.3,5.400895105,1,5
Low Fat,FDN60,Baking Goods,Packaged Foods,0.095140088,High,15.1,10.59340397,1,5
Low Fat,FDU48,Baking Goods,Packaged Foods,0.055347985,Medium,18.85,6.977633952,1,5
Low Fat,FDG60,Baking Goods,Packaged Foods,0.060688248,Medium,20.35,11.51162654,1,5
Low Fat,FDU11,Breads,Perishables,0.092576144,High,4.785,25.28940439,1,5
Low Fat,FDT49,Canned,Packaged Foods,0.151376958,High,7,15.46114286,1,5
Low Fat,FDS37,Canned,Packaged Foods,0.031938828,Low,7.655,14.91171783,1,5
Low Fat,FDK50,Canned,Packaged Foods,0.028357839,Low,7.96,20.51374372,1,5
Low Fat,FDG26,Canned,Packaged Foods,0.042641788,Medium,18.85,13.67814324,1,5
Low Fat,FDD14,Canned,Packaged Foods,0.169776346,High,20.7,8.909497585,1,5
Low Fat,FDK41,Frozen Foods,Perishables,0.127517605,High,14.3,6.015552448,1,5
Low Fat,FDD16,Frozen Foods,Perishables,0.036346224,Medium,20.5,3.559492683,1,5
Low Fat,FDZ44,Fruits and Vegetables,Perishables,0.038721734,Medium,8.185,14.15770312,1,5
Low Fat,FDO44,Fruits and Vegetables,Perishables,0.087436672,High,12.6,8.724031746,1,5
Low Fat,DRL11,Hard Drinks,Drinks,0.048009081,Medium,10.5,14.96139048,1,5
Low Fat,NCU17,Health and Hygiene,Household,0.092865746,High,5.32,18.92244361,1,5
Low Fat,NCL41,Health and Hygiene,Household,0.041729735,Medium,12.35,2.941020243,1,5
Low Fat,NCS53,Health and Hygiene,Household,0.089761211,High,14.5,10.99726897,1,5
Low Fat,NCV17,Health and Hygiene,Household,0.016104504,Low,18.85,6.910482759,1,5
Low Fat,NCO14,Household,Household,0.029638267,Low,9.6,4.438395833,1,5
Low Fat,NCU18,Household,Household,0.055829496,Medium,15.1,9.28805298,1,5
Low Fat,NCI54,Household,Household,0.033592687,Low,15.2,7.117842105,1,5
Low Fat,NCQ50,Household,Household,0,Low,18.75,11.37716267,1,5
Low Fat,NCC18,Household,Household,0.177236497,High,19.1,9.023151832,1,5
Low Fat,NCQ38,Others,Packaged Foods,0.013363902,Low,16.35,6.491009174,1,5
Low Fat,FDL10,Snack Foods,Packaged Foods,0.039484739,Medium,8.395,11.66220369,1,5
Low Fat,FDE34,Snack Foods,Packaged Foods,0.107870997,High,9.195,19.71325721,1,5
Low Fat,FDL46,Snack Foods,Packaged Foods,0.054046706,Medium,20.35,5.874525799,1,5
Low Fat,FDH10,Snack Foods,Packaged Foods,0.049295686,Medium,21,9.259419048,1,5
Low Fat,DRE60,Soft Drinks,Drinks,0.159304333,High,9.395,24.0736562,1,5
Low Fat,DRD60,Soft Drinks,Drinks,0.03722507,Medium,15.7,11.62187261,1,5
Regular,FDR36,Baking Goods,Packaged Foods,0.121563385,High,6.715,6.5145793,1,5
Regular,FDL24,Baking Goods,Packaged Foods,0.024891881,Low,10.3,16.5963301,1,5
Regular,FDM36,Baking Goods,Packaged Foods,0.058719726,Medium,11.65,14.6903176,1,5
Regular,FDD26,Canned,Packaged Foods,0.072141818,Medium,8.71,21.05538462,1,5
Regular,FDI02,Canned,Packaged Foods,0.11454343,High,15.7,7.243324841,1,5
Regular,FDE04,Frozen Foods,Perishables,0.018019662,Low,19.75,9.19321519,1,5
Regular,FDQ08,Fruits and Vegetables,Perishables,0.018926773,Low,15.7,3.837808917,1,5
Regular,FDV20,Fruits and Vegetables,Perishables,0.059790095,Medium,20.2,6.310287129,1,5
Regular,FDW03,Meat,Perishables,0.024536636,Low,5.63,18.85090586,1,5
Regular,FDX51,Meat,Perishables,0.022054553,Low,9.5,20.57317895,1,5
Regular,FDR03,Meat,Perishables,0.008734284,Low,15.7,13.24191083,1,5
Regular,FDW21,Snack Foods,Packaged Foods,0.005962753,Low,5.34,19.18273408,1,5
Regular,FDJ58,Snack Foods,Packaged Foods,0.105276162,High,15.6,11.10746154,1,5
Low Fat,FDR48,Baking Goods,Packaged Foods,0.220111117,High,11.65,13.13325322,1,5
Low Fat,FDO16,Frozen Foods,Perishables,0.02528802,Low,5.48,15.20529197,1,5
Low Fat,FDE53,Frozen Foods,Perishables,0.044991876,Medium,10.895,9.841945847,1,5
Low Fat,FDV31,Fruits and Vegetables,Perishables,0.178622919,High,9.8,18.15683673,1,5
Low Fat,FDF32,Fruits and Vegetables,Perishables,0.113953562,High,16.35,12.12492966,1,5
Low Fat,DRN35,Hard Drinks,Drinks,0.117580062,High,8.01,4.575930087,1,5
Low Fat,NCQ17,Health and Hygiene,Household,0.195721125,High,10.3,15.19058252,1,5
Low Fat,NCQ41,Health and Hygiene,Household,0.032606181,Low,14.8,13.07968919,1,5
Low Fat,NCN06,Household,Household,0.20168772,High,8.39,19.41439809,1,5
Low Fat,NCF30,Household,Household,0.211306673,High,17,7.360952941,1,5
Low Fat,FDQ39,Meat,Perishables,0.13564792,High,14.8,12.89760811,1,5
Low Fat,FDL45,Snack Foods,Packaged Foods,0.063081713,Medium,15.6,8.062205128,1,5
Low Fat,FDR10,Snack Foods,Packaged Foods,0.016804724,Low,17.6,9.287227273,1,5
Low Fat,FDZ09,Snack Foods,Packaged Foods,0.175545889,High,17.6,9.300386364,1,5
Low Fat,DRJ13,Soft Drinks,Drinks,0.105265475,High,12.65,12.64488538,1,5
